Date,Open,High,Low,Close,Volume
"Dec 10, 2021",4687.64,4713.57,4670.24,4712.02,2858310000
"Dec 09, 2021",4691,4695.26,4665.98,4667.45,2851660000
"Dec 08, 2021",4690.86,4705.06,4674.52,4701.21,3061550000
"Dec 07, 2021",4631.97,4694.04,4631.97,4686.75,3334320000
"Dec 06, 2021",4548.37,4612.6,4540.51,4591.67,3305690000
"Dec 03, 2021",4589.49,4608.03,4495.12,4538.43,3971500000
"Dec 02, 2021",4504.73,4595.46,4504.73,4577.1,3771510000
"Dec 01, 2021",4602.82,4652.94,4510.27,4513.04,4078260000
"Nov 30, 2021",4640.25,4646.02,4560,4567,4950190000
"Nov 29, 2021",4628.75,4672.95,4625.26,4655.27,3471380000
"Nov 26, 2021",4664.63,4664.63,4585.43,4594.62,2676740000
"Nov 24, 2021",4675.78,4702.87,4659.89,4701.46,2464040000
"Nov 23, 2021",4678.48,4699.39,4652.66,4690.7,3428780000
"Nov 22, 2021",4712,4743.83,4682.17,4682.94,3206280000
"Nov 19, 2021",4708.44,4717.75,4694.22,4697.96,3265600000
"Nov 18, 2021",4700.72,4708.8,4672.78,4704.54,3335620000
"Nov 17, 2021",4701.5,4701.5,4684.41,4688.67,3221250000
"Nov 16, 2021",4679.42,4714.95,4679.42,4700.9,2838210000
"Nov 15, 2021",4689.3,4697.42,4672.86,4682.8,2618980000
"Nov 12, 2021",4655.24,4688.47,4650.77,4682.85,2865790000
"Nov 11, 2021",4659.39,4664.55,4648.31,4649.27,2623140000
"Nov 10, 2021",4670.26,4684.85,4630.86,4646.71,3581630000
"Nov 09, 2021",4707.25,4708.53,4670.87,4685.25,3110230000
"Nov 08, 2021",4701.48,4714.92,4694.39,4701.7,3465720000
"Nov 05, 2021",4699.26,4718.5,4681.32,4697.53,3491150000
"Nov 04, 2021",4662.93,4683,4662.59,4680.06,3332940000
"Nov 03, 2021",4630.65,4663.46,4621.19,4660.57,3339440000
"Nov 02, 2021",4613.34,4635.15,4613.34,4630.65,3309690000
"Nov 01, 2021",4610.62,4620.34,4595.06,4613.67,2924000000
"Oct 29, 2021",4572.87,4608.08,4567.59,4605.38,3632260000
"Oct 28, 2021",4562.84,4597.55,4562.84,4596.42,3197560000
"Oct 27, 2021",4580.22,4584.57,4551.66,4551.68,3259510000
"Oct 26, 2021",4578.69,4598.53,4569.17,4574.79,2866500000
"Oct 25, 2021",4553.69,4572.62,4537.36,4566.48,3250210000
"Oct 22, 2021",4546.12,4559.67,4524,4544.9,3062810000
"Oct 21, 2021",4532.24,4551.44,4526.89,4549.78,3016950000
"Oct 20, 2021",4524.42,4540.87,4524.4,4536.19,2671560000
"Oct 19, 2021",4497.34,4520.4,4496.41,4519.63,2531210000
"Oct 18, 2021",4463.72,4488.75,4447.47,4486.46,2683540000
"Oct 15, 2021",4447.69,4475.82,4447.69,4471.37,3000560000
"Oct 14, 2021",4386.75,4439.73,4386.75,4438.26,2642920000
"Oct 13, 2021",4358.01,4372.87,4329.92,4363.8,2926460000
"Oct 12, 2021",4368.31,4374.89,4342.09,4350.65,2608150000
"Oct 11, 2021",4385.44,4415.88,4360.59,4361.19,2580000000
"Oct 08, 2021",4406.51,4412.02,4386.22,4391.34,2401890000
"Oct 07, 2021",4383.73,4429.97,4383.73,4399.76,3096080000
"Oct 06, 2021",4319.57,4365.57,4290.49,4363.55,3219590000
"Oct 05, 2021",4309.87,4369.23,4309.87,4345.72,2967400000
"Oct 04, 2021",4348.84,4355.51,4278.94,4300.46,3110560000
"Oct 01, 2021",4317.16,4375.19,4288.52,4357.04,3148980000
"Sep 30, 2021",4370.67,4382.55,4306.24,4307.54,3123770000
"Sep 29, 2021",4362.41,4385.57,4355.08,4359.46,2753800000
"Sep 28, 2021",4419.54,4419.54,4346.33,4352.63,3495970000
"Sep 27, 2021",4442.12,4457.3,4436.19,4443.11,3032870000
"Sep 24, 2021",4438.04,4463.12,4430.27,4455.48,2772090000
"Sep 23, 2021",4406.75,4465.4,4406.75,4448.98,2833290000
"Sep 22, 2021",4367.43,4416.75,4367.43,4395.64,3273670000
"Sep 21, 2021",4374.45,4394.87,4347.96,4354.19,3044300000
"Sep 20, 2021",4402.95,4402.95,4305.91,4357.73,3773680000
"Sep 17, 2021",4469.74,4471.52,4427.76,4432.99,5622210000
"Sep 16, 2021",4477.09,4485.87,4443.8,4473.75,3321030000
"Sep 15, 2021",4447.49,4486.87,4438.37,4480.7,3154760000
"Sep 14, 2021",4479.33,4485.68,4435.46,4443.05,2568730000
"Sep 13, 2021",4474.81,4492.99,4445.7,4468.73,3096390000
"Sep 10, 2021",4506.92,4520.47,4457.66,4458.58,2851140000
"Sep 09, 2021",4513.02,4529.9,4492.07,4493.28,3035300000
"Sep 08, 2021",4518.09,4521.79,4493.95,4514.07,2808480000
"Sep 07, 2021",4535.38,4535.38,4513,4520.03,3098870000
"Sep 03, 2021",4532.42,4541.45,4521.3,4535.43,2609660000
"Sep 02, 2021",4534.48,4545.85,4524.66,4536.95,2897010000
"Sep 01, 2021",4528.8,4537.11,4522.02,4524.09,3101830000
"Aug 31, 2021",4529.75,4531.39,4515.8,4522.68,3090380000
"Aug 30, 2021",4513.76,4537.36,4513.76,4528.79,2557300000
"Aug 27, 2021",4474.1,4513.33,4474.1,4509.37,2862360000
"Aug 26, 2021",4493.75,4495.9,4468.99,4470,2704600000
"Aug 25, 2021",4490.45,4501.71,4485.66,4496.19,2554680000
"Aug 24, 2021",4484.4,4492.81,4482.28,4486.23,3037770000
"Aug 23, 2021",4450.29,4489.88,4450.29,4479.53,2965520000
"Aug 20, 2021",4410.56,4444.35,4406.8,4441.67,2867770000
"Aug 19, 2021",4382.44,4418.61,4367.73,4405.8,3120840000
"Aug 18, 2021",4440.94,4454.32,4397.59,4400.27,2965210000
"Aug 17, 2021",4462.12,4462.12,4417.83,4448.08,2884000000
"Aug 16, 2021",4461.65,4473.26,4437.66,4472.94,2707170000
"Aug 13, 2021",4464.84,4468.37,4460.82,4468,2371630000
"Aug 12, 2021",4446.08,4461.77,4435.96,4460.83,2543860000
"Aug 11, 2021",4442.18,4449.44,4436.42,4442.41,2803060000
"Aug 10, 2021",4435.79,4445.21,4430.03,4436.75,3219840000
"Aug 09, 2021",4437.77,4439.39,4424.74,4432.35,2779880000
"Aug 06, 2021",4429.07,4440.82,4429.07,4436.52,2839970000
"Aug 05, 2021",4408.86,4429.76,4408.86,4429.1,2734220000
"Aug 04, 2021",4415.95,4416.17,4400.23,4402.66,3382620000
"Aug 03, 2021",4392.74,4423.79,4373,4423.15,3305340000
"Aug 02, 2021",4406.86,4422.18,4384.81,4387.16,2919940000
"Jul 30, 2021",4395.12,4412.25,4389.65,4395.26,2861600000
"Jul 29, 2021",4403.59,4429.97,4403.59,4419.15,2815510000
"Jul 28, 2021",4402.95,4415.47,4387.01,4400.64,3215130000
"Jul 27, 2021",4416.38,4416.38,4372.51,4401.46,3381080000
"Jul 26, 2021",4409.58,4422.73,4405.45,4422.3,2679110000
"Jul 23, 2021",4381.2,4415.18,4381.2,4411.79,3490730000
"Jul 22, 2021",4361.27,4369.87,4350.06,4367.48,2907910000
"Jul 21, 2021",4331.13,4359.7,4331.13,4358.69,3078550000
"Jul 20, 2021",4265.11,4336.84,4262.05,4323.06,3634190000
"Jul 19, 2021",4296.4,4296.4,4233.13,4258.49,4155790000
"Jul 16, 2021",4367.43,4375.09,4322.53,4327.16,3165160000
"Jul 15, 2021",4369.02,4369.02,4340.7,4360.03,3226930000
"Jul 14, 2021",4380.11,4393.68,4362.36,4374.3,3213870000
"Jul 13, 2021",4381.07,4392.37,4366.92,4369.21,3166900000
"Jul 12, 2021",4372.41,4386.68,4364.03,4384.63,2983980000
"Jul 09, 2021",4329.38,4371.6,4329.38,4369.55,2738280000
"Jul 08, 2021",4321.07,4330.88,4289.37,4320.82,3393780000
